SEED,SHOTS,DATASET,MODEL,BACKBONE,AVG ACC
9,16,artgraph,TIMO,RN50,71.25382262996942
9,16,artgraph,TIMO_S,RN50,72.17125382262996
42,1,artgraph,Tip_Adapter,RN50,37.00305810397553
42,1,artgraph,APE,RN50,44.342507645259936
42,1,artgraph,GDA_CLIP,RN50,41.59021406727829
42,1,artgraph,TIMO,RN50,41.59021406727829
42,1,artgraph,TIMO_S,RN50,46.48318042813456
42,2,artgraph,Tip_Adapter,RN50,40.67278287461774
42,2,artgraph,APE,RN50,48.318042813455655
42,2,artgraph,GDA_CLIP,RN50,51.07033639143731
42,2,artgraph,TIMO,RN50,47.09480122324159
42,2,artgraph,TIMO_S,RN50,49.54128440366973
42,4,artgraph,Tip_Adapter,RN50,44.64831804281346
42,4,artgraph,APE,RN50,52.599388379204896
42,4,artgraph,GDA_CLIP,RN50,55.96330275229358
42,4,artgraph,TIMO,RN50,57.79816513761468
42,4,artgraph,TIMO_S,RN50,57.186544342507645
42,8,artgraph,Tip_Adapter,RN50,48.62385321100918
42,8,artgraph,APE,RN50,55.657492354740064
42,8,artgraph,GDA_CLIP,RN50,64.22018348623853
42,8,artgraph,TIMO,RN50,66.05504587155963
42,8,artgraph,TIMO_S,RN50,64.83180428134557
42,16,artgraph,Tip_Adapter,RN50,51.07033639143731
42,16,artgraph,APE,RN50,58.103975535168196
42,16,artgraph,GDA_CLIP,RN50,72.17125382262996
42,16,artgraph,TIMO,RN50,73.39449541284404
42,16,artgraph,TIMO_S,RN50,71.86544342507645
1,1,artgraph,Tip_Adapter,RN101,37.920489296636084
1,1,artgraph,APE,RN101,40.36697247706422
1,1,artgraph,GDA_CLIP,RN101,40.0611620795107
1,1,artgraph,TIMO,RN101,45.56574923547401
1,1,artgraph,TIMO_S,RN101,44.95412844036697
1,2,artgraph,Tip_Adapter,RN101,40.97859327217125
1,2,artgraph,APE,RN101,47.706422018348626
1,2,artgraph,GDA_CLIP,RN101,44.342507645259936
1,2,artgraph,TIMO,RN101,43.730886850152906
1,2,artgraph,TIMO_S,RN101,49.235474006116206
1,4,artgraph,Tip_Adapter,RN101,46.17737003058104
1,4,artgraph,APE,RN101,53.211009174311926
1,4,artgraph,GDA_CLIP,RN101,56.269113149847094
1,4,artgraph,TIMO,RN101,59.63302752293578
1,4,artgraph,TIMO_S,RN101,58.71559633027523
1,8,artgraph,Tip_Adapter,RN101,49.54128440366973
1,8,artgraph,APE,RN101,58.40978593272171
1,8,artgraph,GDA_CLIP,RN101,65.13761467889908
1,8,artgraph,TIMO,RN101,65.13761467889908
1,8,artgraph,TIMO_S,RN101,64.83180428134557
1,16,artgraph,Tip_Adapter,RN101,56.269113149847094
1,16,artgraph,APE,RN101,59.9388379204893
1,16,artgraph,GDA_CLIP,RN101,73.70030581039755
1,16,artgraph,TIMO,RN101,72.78287461773701
1,16,artgraph,TIMO_S,RN101,72.78287461773701
2,1,artgraph,Tip_Adapter,RN101,39.14373088685015
2,1,artgraph,APE,RN101,43.730886850152906
2,1,artgraph,GDA_CLIP,RN101,39.75535168195719
2,1,artgraph,TIMO,RN101,46.788990825688074
2,1,artgraph,TIMO_S,RN101,47.09480122324159
2,2,artgraph,Tip_Adapter,RN101,41.59021406727829
2,2,artgraph,APE,RN101,44.95412844036697
2,2,artgraph,GDA_CLIP,RN101,47.400611620795104
2,2,artgraph,TIMO,RN101,47.09480122324159
2,2,artgraph,TIMO_S,RN101,46.788990825688074
2,4,artgraph,Tip_Adapter,RN101,48.318042813455655
2,4,artgraph,APE,RN101,55.35168195718654
2,4,artgraph,GDA_CLIP,RN101,57.186544342507645
2,4,artgraph,TIMO,RN101,57.49235474006116
2,4,artgraph,TIMO_S,RN101,57.49235474006116
2,8,artgraph,Tip_Adapter,RN101,49.54128440366973
2,8,artgraph,APE,RN101,57.186544342507645
2,8,artgraph,GDA_CLIP,RN101,63.30275229357798
2,8,artgraph,TIMO,RN101,62.38532110091743
2,8,artgraph,TIMO_S,RN101,63.30275229357798
2,16,artgraph,Tip_Adapter,RN101,53.51681957186544
2,16,artgraph,APE,RN101,57.186544342507645
2,16,artgraph,GDA_CLIP,RN101,68.19571865443424
2,16,artgraph,TIMO,RN101,68.19571865443424
2,16,artgraph,TIMO_S,RN101,68.50152905198777
3,1,artgraph,Tip_Adapter,RN101,39.75535168195719
3,1,artgraph,APE,RN101,43.730886850152906
3,1,artgraph,GDA_CLIP,RN101,44.03669724770642
3,1,artgraph,TIMO,RN101,43.11926605504587
3,1,artgraph,TIMO_S,RN101,44.95412844036697
3,2,artgraph,Tip_Adapter,RN101,40.36697247706422
3,2,artgraph,APE,RN101,47.09480122324159
3,2,artgraph,GDA_CLIP,RN101,46.48318042813456
3,2,artgraph,TIMO,RN101,45.56574923547401
3,2,artgraph,TIMO_S,RN101,49.235474006116206
3,4,artgraph,Tip_Adapter,RN101,44.64831804281346
3,4,artgraph,APE,RN101,52.90519877675841
3,4,artgraph,GDA_CLIP,RN101,55.35168195718654
3,4,artgraph,TIMO,RN101,59.63302752293578
3,4,artgraph,TIMO_S,RN101,59.63302752293578
3,8,artgraph,Tip_Adapter,RN101,48.62385321100918
3,8,artgraph,APE,RN101,55.04587155963303
3,8,artgraph,GDA_CLIP,RN101,61.46788990825688
3,8,artgraph,TIMO,RN101,63.91437308868502
3,8,artgraph,TIMO_S,RN101,63.30275229357798
3,16,artgraph,Tip_Adapter,RN101,53.82262996941896
3,16,artgraph,APE,RN101,59.32721712538226
3,16,artgraph,GDA_CLIP,RN101,71.25382262996942
3,16,artgraph,TIMO,RN101,70.9480122324159
3,16,artgraph,TIMO_S,RN101,70.9480122324159
4,1,artgraph,Tip_Adapter,RN101,39.14373088685015
4,1,artgraph,APE,RN101,42.50764525993884
4,1,artgraph,GDA_CLIP,RN101,42.20183486238532
4,1,artgraph,TIMO,RN101,47.706422018348626
4,1,artgraph,TIMO_S,RN101,47.706422018348626
4,2,artgraph,Tip_Adapter,RN101,41.59021406727829
4,2,artgraph,APE,RN101,45.87155963302752
4,2,artgraph,GDA_CLIP,RN101,44.95412844036697
4,2,artgraph,TIMO,RN101,50.764525993883794
4,2,artgraph,TIMO_S,RN101,49.54128440366973
4,4,artgraph,Tip_Adapter,RN101,44.64831804281346
4,4,artgraph,APE,RN101,51.98776758409786
4,4,artgraph,GDA_CLIP,RN101,56.88073394495413
4,4,artgraph,TIMO,RN101,54.12844036697248
4,4,artgraph,TIMO_S,RN101,58.71559633027523
4,8,artgraph,Tip_Adapter,RN101,48.318042813455655
4,8,artgraph,APE,RN101,58.40978593272171
4,8,artgraph,GDA_CLIP,RN101,64.22018348623853
4,8,artgraph,TIMO,RN101,62.691131498470945
4,8,artgraph,TIMO_S,RN101,64.52599388379205
4,16,artgraph,Tip_Adapter,RN101,54.74006116207951
4,16,artgraph,APE,RN101,57.49235474006116
4,16,artgraph,GDA_CLIP,RN101,71.55963302752293
4,16,artgraph,TIMO,RN101,71.86544342507645
4,16,artgraph,TIMO_S,RN101,71.86544342507645
5,1,artgraph,Tip_Adapter,RN101,38.2262996941896
5,1,artgraph,APE,RN101,41.28440366972477
5,1,artgraph,GDA_CLIP,RN101,41.28440366972477
5,1,artgraph,TIMO,RN101,46.788990825688074
5,1,artgraph,TIMO_S,RN101,45.87155963302752
5,2,artgraph,Tip_Adapter,RN101,40.97859327217125
5,2,artgraph,APE,RN101,48.01223241590214
5,2,artgraph,GDA_CLIP,RN101,48.01223241590214
5,2,artgraph,TIMO,RN101,49.235474006116206
5,2,artgraph,TIMO_S,RN101,52.90519877675841
5,4,artgraph,Tip_Adapter,RN101,42.813455657492355
5,4,artgraph,APE,RN101,54.12844036697248
5,4,artgraph,GDA_CLIP,RN101,57.79816513761468
5,4,artgraph,TIMO,RN101,58.103975535168196
5,4,artgraph,TIMO_S,RN101,58.103975535168196
5,8,artgraph,Tip_Adapter,RN101,48.62385321100918
5,8,artgraph,APE,RN101,59.02140672782875
5,8,artgraph,GDA_CLIP,RN101,64.22018348623853
5,8,artgraph,TIMO,RN101,64.83180428134557
5,8,artgraph,TIMO_S,RN101,64.83180428134557
5,16,artgraph,Tip_Adapter,RN101,53.82262996941896
5,16,artgraph,APE,RN101,59.32721712538226
5,16,artgraph,GDA_CLIP,RN101,70.64220183486239
5,16,artgraph,TIMO,RN101,70.64220183486239
5,16,artgraph,TIMO_S,RN101,70.9480122324159
6,1,artgraph,Tip_Adapter,RN101,38.53211009174312
6,1,artgraph,APE,RN101,47.09480122324159
6,1,artgraph,GDA_CLIP,RN101,42.50764525993884
6,1,artgraph,TIMO,RN101,48.01223241590214
6,1,artgraph,TIMO_S,RN101,46.788990825688074
6,2,artgraph,Tip_Adapter,RN101,42.20183486238532
6,2,artgraph,APE,RN101,48.92966360856269
6,2,artgraph,GDA_CLIP,RN101,45.25993883792049
6,2,artgraph,TIMO,RN101,45.87155963302752
6,2,artgraph,TIMO_S,RN101,47.706422018348626
6,4,artgraph,Tip_Adapter,RN101,47.400611620795104
6,4,artgraph,APE,RN101,52.293577981651374
6,4,artgraph,GDA_CLIP,RN101,57.186544342507645
6,4,artgraph,TIMO,RN101,58.103975535168196
6,4,artgraph,TIMO_S,RN101,58.103975535168196
6,8,artgraph,Tip_Adapter,RN101,51.98776758409786
6,8,artgraph,APE,RN101,60.85626911314985
6,8,artgraph,GDA_CLIP,RN101,65.4434250764526
6,8,artgraph,TIMO,RN101,64.52599388379205
6,8,artgraph,TIMO_S,RN101,64.52599388379205
6,16,artgraph,Tip_Adapter,RN101,55.96330275229358
6,16,artgraph,APE,RN101,59.32721712538226
6,16,artgraph,GDA_CLIP,RN101,71.86544342507645
6,16,artgraph,TIMO,RN101,73.08868501529052
6,16,artgraph,TIMO_S,RN101,74.00611620795107
7,1,artgraph,Tip_Adapter,RN101,38.2262996941896
7,1,artgraph,APE,RN101,41.59021406727829
7,1,artgraph,GDA_CLIP,RN101,41.896024464831804
7,1,artgraph,TIMO,RN101,44.95412844036697
7,1,artgraph,TIMO_S,RN101,46.48318042813456
7,2,artgraph,Tip_Adapter,RN101,41.28440366972477
7,2,artgraph,APE,RN101,47.09480122324159
7,2,artgraph,GDA_CLIP,RN101,48.01223241590214
7,2,artgraph,TIMO,RN101,48.92966360856269
7,2,artgraph,TIMO_S,RN101,50.45871559633027
7,4,artgraph,Tip_Adapter,RN101,45.25993883792049
7,4,artgraph,APE,RN101,50.15290519877676
7,4,artgraph,GDA_CLIP,RN101,51.98776758409786
7,4,artgraph,TIMO,RN101,54.74006116207951
7,4,artgraph,TIMO_S,RN101,55.04587155963303
7,8,artgraph,Tip_Adapter,RN101,48.01223241590214
7,8,artgraph,APE,RN101,54.43425076452599
7,8,artgraph,GDA_CLIP,RN101,63.91437308868502
7,8,artgraph,TIMO,RN101,64.83180428134557
7,8,artgraph,TIMO_S,RN101,65.4434250764526
7,16,artgraph,Tip_Adapter,RN101,55.96330275229358
7,16,artgraph,APE,RN101,62.691131498470945
7,16,artgraph,GDA_CLIP,RN101,74.61773700305811
7,16,artgraph,TIMO,RN101,73.70030581039755
7,16,artgraph,TIMO_S,RN101,74.00611620795107
8,1,artgraph,Tip_Adapter,RN101,39.44954128440367
8,1,artgraph,APE,RN101,41.59021406727829
8,1,artgraph,GDA_CLIP,RN101,41.28440366972477
8,1,artgraph,TIMO,RN101,47.400611620795104
8,1,artgraph,TIMO_S,RN101,47.706422018348626
8,2,artgraph,Tip_Adapter,RN101,39.75535168195719
8,2,artgraph,APE,RN101,47.706422018348626
8,2,artgraph,GDA_CLIP,RN101,48.62385321100918
8,2,artgraph,TIMO,RN101,48.92966360856269
8,2,artgraph,TIMO_S,RN101,50.15290519877676
8,4,artgraph,Tip_Adapter,RN101,45.56574923547401
8,4,artgraph,APE,RN101,51.98776758409786
8,4,artgraph,GDA_CLIP,RN101,52.599388379204896
8,4,artgraph,TIMO,RN101,55.96330275229358
8,4,artgraph,TIMO_S,RN101,54.74006116207951
8,8,artgraph,Tip_Adapter,RN101,50.764525993883794
8,8,artgraph,APE,RN101,55.04587155963303
8,8,artgraph,GDA_CLIP,RN101,64.83180428134557
8,8,artgraph,TIMO,RN101,66.97247706422019
8,8,artgraph,TIMO_S,RN101,68.19571865443424
8,16,artgraph,Tip_Adapter,RN101,53.82262996941896
8,16,artgraph,APE,RN101,59.02140672782875
8,16,artgraph,GDA_CLIP,RN101,70.64220183486239
8,16,artgraph,TIMO,RN101,70.64220183486239
8,16,artgraph,TIMO_S,RN101,70.03058103975535
9,1,artgraph,Tip_Adapter,RN101,37.920489296636084
9,1,artgraph,APE,RN101,40.36697247706422
9,1,artgraph,GDA_CLIP,RN101,40.67278287461774
9,1,artgraph,TIMO,RN101,43.730886850152906
9,1,artgraph,TIMO_S,RN101,44.03669724770642
9,2,artgraph,Tip_Adapter,RN101,40.67278287461774
9,2,artgraph,APE,RN101,49.235474006116206
9,2,artgraph,GDA_CLIP,RN101,48.62385321100918
9,2,artgraph,TIMO,RN101,45.25993883792049
9,2,artgraph,TIMO_S,RN101,47.09480122324159
9,4,artgraph,Tip_Adapter,RN101,44.342507645259936
9,4,artgraph,APE,RN101,50.764525993883794
9,4,artgraph,GDA_CLIP,RN101,53.51681957186544
9,4,artgraph,TIMO,RN101,59.32721712538226
9,4,artgraph,TIMO_S,RN101,59.32721712538226
9,8,artgraph,Tip_Adapter,RN101,53.211009174311926
9,8,artgraph,APE,RN101,58.71559633027523
9,8,artgraph,GDA_CLIP,RN101,66.36085626911316
9,8,artgraph,TIMO,RN101,66.97247706422019
9,8,artgraph,TIMO_S,RN101,66.66666666666667
9,16,artgraph,Tip_Adapter,RN101,53.211009174311926
9,16,artgraph,APE,RN101,57.79816513761468
9,16,artgraph,GDA_CLIP,RN101,70.03058103975535
9,16,artgraph,TIMO,RN101,69.1131498470948
9,16,artgraph,TIMO_S,RN101,69.72477064220183
42,1,artgraph,Tip_Adapter,RN101,36.391437308868504
42,1,artgraph,APE,RN101,41.59021406727829
42,1,artgraph,GDA_CLIP,RN101,43.11926605504587
42,1,artgraph,TIMO,RN101,44.95412844036697
